symbol,run_start_date,peak_return_pct,sector,eps_q0,eps_q1,eps_q2,eps_q3,eps_positive,eps_trend_improving,eps_acceleration,rev_acceleration,consecutive_improvements,quarters_available
RDW,2024-01-17,567.53,Industrials,,,,,,,,,0,0
FUTU,2020-01-14,566.89,Financial Services,,,,,,,,,0,0
GME,2020-01-14,566.67,Consumer Cyclical,,,,,,,,,0,0
LUNR,2023-12-22,566.0,Industrials,,,,,,,,,0,0
FCX,2020-03-19,563.41,Basic Materials,,,,,,,,,0,0
LUNR,2024-06-26,562.93,Industrials,,,,,,,,,0,0
MARA,2020-12-21,561.65,Financial Services,,,,,,,,,0,0
MTDR,2020-10-29,561.03,Energy,,,,,,,,,0,0
CLSK,2022-12-30,558.33,Financial Services,,,,,,,,,0,0
BILL,2020-03-18,557.31,Technology,,,,,,,,,0,0
MSTR,2023-10-12,556.95,Technology,,,,,,,,,0,0
MRNA,2019-07-24,555.49,Healthcare,,,,,,,,,0,0
CZR,2020-03-12,550.84,Consumer Cyclical,,,,,,,,,0,0
HUT,2020-02-05,549.39,Financial Services,,,,,,,,,0,0
BNTX,2020-08-12,547.13,Healthcare,,,,,,,,,0,0
LC,2020-09-09,544.49,Financial Services,,,,,,,,,0,0
DKNG,2019-10-04,542.94,Consumer Cyclical,,,,,,,,,0,0
FUTU,2020-07-15,541.59,Financial Services,,,,,,,,,0,0
PTON,2019-10-24,539.32,Consumer Cyclical,,,,,,,,,0,0
IONQ,2024-04-10,538.37,Technology,,,,,,,,,0,0
SMCI,2023-01-23,537.55,Technology,,,,,,,,,0,0
IONQ,2022-12-28,536.54,Technology,,,,,,,,,0,0
APLD,2022-12-16,536.02,Technology,,,,,,,,,0,0
ROKU,2020-03-19,533.7,Communication Services,,,,,,,,,0,0
PLUG,2020-09-03,533.59,Industrials,,,,,,,,,0,0
QBTS,2023-05-03,532.61,Technology,,,,,,,,,0,0
BE,2024-09-11,532.42,Industrials,,,,,,,,,0,0
RGTI,2023-03-20,532.3,Technology,,,,,,,,,0,0
RUN,2020-01-14,531.96,Technology,,,,,,,,,0,0
ZM,2019-09-25,528.81,Technology,,,,,,,,,0,0
SMCI,2022-06-23,528.24,Technology,,,,,,,,,0,0
VRT,2023-03-27,527.32,Industrials,,,,,,,,,0,0
QXO,2020-06-29,524.39,Industrials,,,,,,,,,0,0
PLUG,2019-08-21,521.36,Industrials,,,,,,,,,0,0
AA,2020-05-15,520.42,Basic Materials,,,,,,,,,0,0
BBWI,2020-04-02,519.41,Consumer Cyclical,,,,,,,,,0,0
QBTS,2024-12-16,519.36,Technology,,,,,,,,,0,0
PDD,2020-03-12,518.17,Consumer Cyclical,,,,,,,,,0,0
SOUN,2024-06-25,518.11,Technology,,,,,,,,,0,0
SE,2019-10-10,518.03,Consumer Cyclical,,,,,,,,,0,0
AEHR,2022-07-05,517.02,Technology,,,,,,,,,0,0
ENPH,2019-11-01,516.78,Technology,,,,,,,,,0,0
BBAI,2024-10-25,515.09,Technology,,,,,,,,,0,0
AR,2020-09-10,514.34,Energy,,,,,,,,,0,0
PSKY,2020-03-12,514.07,Communication Services,,,,,,,,,0,0
CRWD,2020-03-13,512.95,Technology,,,,,,,,,0,0
BILI,2020-02-05,512.94,Communication Services,,,,,,,,,0,0
MSTR,2023-03-08,512.58,Technology,,,,,,,,,0,0
MP,2024-08-02,512.26,Basic Materials,,,,,,,,,0,0
VKTX,2023-07-03,512.05,Healthcare,,,,,,,,,0,0
BTBT,2022-12-09,512.0,Financial Services,,,,,,,,,0,0
AMC,2021-03-26,510.84,Communication Services,,,,,,,,,0,0
QXO,2022-12-29,510.53,Industrials,,,,,,,,,0,0
PLTR,2024-02-02,510.05,Technology,,,,,,,,,0,0
CELH,2019-08-21,508.63,Consumer Defensive,,,,,,,,,0,0
LAD,2020-03-19,508.19,Consumer Cyclical,,,,,,,,,0,0
RIOT,2019-11-29,507.91,Financial Services,,,,,,,,,0,0
RKLB,2023-12-18,507.57,Industrials,,,,,,,,,0,0
APP,2024-05-15,506.86,Communication Services,,,,,,,,,0,0
TSLA,2019-07-17,506.61,Consumer Cyclical,,,,,,,,,0,0
CLSK,2023-09-28,506.22,Financial Services,,,,,,,,,0,0
BBAI,2022-11-09,504.95,Technology,,,,,,,,,0,0
CLOV,2024-03-15,504.01,Healthcare,,,,,,,,,0,0
SMMT,2023-06-02,503.31,Healthcare,,,,,,,,,0,0
LCID,2020-10-23,502.8,Consumer Cyclical,,,,,,,,,0,0
RIOT,2023-01-03,502.08,Financial Services,,,,,,,,,0,0
OPEN,2024-10-31,501.14,Real Estate,,,,,,,,,0,0
SMMT,2022-11-22,501.11,Healthcare,,,,,,,,,0,0
