symbol,score,vol_score,price_score,market_score,fund_score,current_price,market_cap,sector,industry,max_vol_spike_30d,spike_days_2x,spike_days_3x,vol_trend_ratio,pct_from_52w_high,above_ma200,summary
INSM,80,40,20,10,10,174.09,21967859712,Healthcare,Biotechnology,7.19,3,3,1.27,18.2,True,vol 2X spike (3d) | vol 3X spike (3d) | vol trend up | multiple spike events
OGE,80,40,15,10,15,42.23,9771824128,Utilities,Utilities - Regulated Electric,4.96,2,1,1.15,9.1,False,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
RLI,80,40,15,10,15,64.4,4509575168,Financial Services,Insurance - Property & Casualty,3.77,1,1,1.13,19.8,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 20% from 52w high
DCI,80,30,25,10,15,90.05,9960025088,Industrials,Specialty Industrial Machinery,2.89,1,0,1.17,4.7,True,vol 2X spike (1d) | vol trend up | above MA200 | 5% from 52w high
CPT,80,40,25,10,5,109.52,10282630144,Real Estate,REIT - Residential,6.9,3,1,1.07,9.1,True,vol 2X spike (3d) | vol 3X spike (1d) | vol trend up | multiple spike events
WDC,80,35,20,10,15,175.98,165447434240,Technology,Computer Hardware,4.0,1,1,0.87,6.7,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 7% from 52w high
WTFC,80,35,20,10,15,140.58,10227778560,Financial Services,Banks - Regional,4.72,1,1,0.99,2.5,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 3% from 52w high
RCL,80,35,20,10,15,280.21,73817980928,Consumer Cyclical,Travel Services,2.58,4,0,1.05,22.6,True,vol 2X spike (4d) | vol trend up | multiple spike events | above MA200
TMUS,80,40,15,10,15,202.82,209547296768,Communication Services,Telecom Services,3.57,1,1,1.01,25.4,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 25% from 52w high
SNX,80,30,25,10,15,151.64,19275352064,Technology,Electronics & Computer Distribution,2.86,1,0,1.09,8.8,True,vol 2X spike (1d) | vol trend up | above MA200 | 9% from 52w high
KR,80,40,15,10,15,62.37,41540218880,Consumer Defensive,Grocery Stores,3.31,1,1,1.05,15.4,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 15% from 52w high
HEI,80,30,25,10,15,328.14,40811921408,Industrials,Aerospace & Defense,2.92,1,0,1.2,3.5,True,vol 2X spike (1d) | vol trend up | above MA200 | 3% from 52w high
GEN,80,40,15,10,15,27.31,13736454144,Technology,Software - Infrastructure,5.17,2,1,1.07,14.0,False,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | 14% from 52w high
WPC,80,30,25,10,15,63.48,16504967168,Real Estate,REIT - Diversified,2.84,1,0,1.05,6.5,True,vol 2X spike (1d) | vol trend up | above MA200 | 6% from 52w high
OHI,80,30,25,10,15,43.53,14713670656,Real Estate,REIT - Healthcare Facilities,2.26,1,0,1.01,3.3,True,vol 2X spike (1d) | vol trend up | above MA200 | 3% from 52w high
REG,80,40,15,10,15,68.93,14504284160,Real Estate,REIT - Retail,3.35,2,1,1.05,7.3,False,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
ASH,80,40,20,10,10,58.76,2518785536,Basic Materials,Specialty Chemicals,3.15,3,1,1.08,16.9,True,vol 2X spike (3d) | vol 3X spike (1d) | vol trend up | multiple spike events
INGM,80,30,25,10,15,21.78,6300785664,Technology,Information Technology Services,2.54,1,0,1.0,10.5,True,vol 2X spike (1d) | vol trend up | above MA200 | 11% from 52w high
XEL,80,30,25,10,15,73.65,49560760320,Utilities,Utilities - Regulated Electric,2.67,2,0,1.09,9.9,True,vol 2X spike (2d) | vol trend up | above MA200 | 10% from 52w high
FE,80,30,25,10,15,44.08,25641854976,Utilities,Utilities - Regulated Electric,2.69,1,0,1.0,5.8,True,vol 2X spike (1d) | vol trend up | above MA200 | 6% from 52w high
MAT,80,35,20,10,15,19.99,4471856640,Consumer Cyclical,Leisure,4.37,1,1,0.96,9.4,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 9% from 52w high
MSCI,80,30,25,10,15,579.96,42576187392,Financial Services,Financial Data & Stock Exchanges,2.65,1,0,1.03,7.1,True,vol 2X spike (1d) | vol trend up | above MA200 | 7% from 52w high
XPO,80,35,20,10,15,137.69,24010342400,Industrials,Trucking,2.84,3,0,1.06,11.2,True,vol 2X spike (3d) | vol trend up | multiple spike events | above MA200
TRV,80,30,25,10,15,291.32,63376625664,Financial Services,Insurance - Property & Casualty,2.18,1,0,1.01,1.1,True,vol 2X spike (1d) | vol trend up | above MA200 | 1% from 52w high
THO,80,30,25,10,15,103.04,4060405760,Consumer Cyclical,Recreational Vehicles,2.84,1,0,1.14,11.0,True,vol 2X spike (1d) | vol trend up | above MA200 | 11% from 52w high
NXST,80,30,25,10,15,203.52,6192996352,Communication Services,Broadcasting,2.57,1,0,1.02,7.3,True,vol 2X spike (1d) | vol trend up | above MA200 | 7% from 52w high
URI,80,35,20,10,15,815.41,58699821056,Industrials,Rental & Leasing Services,2.28,2,0,1.15,19.8,True,vol 2X spike (2d) | vol trend up | multiple spike events | above MA200
LLYVA,80,40,20,10,10,81.25,8610694144,Communication Services,Entertainment,7.53,5,2,1.26,18.4,True,vol 2X spike (5d) | vol 3X spike (2d) | vol trend up | multiple spike events
MCHP,80,35,20,10,15,64.3,53621112832,Technology,Semiconductors,2.83,2,0,1.05,14.9,True,vol 2X spike (2d) | vol trend up | multiple spike events | above MA200
FTAI,80,35,20,10,15,197.35,27727153152,Industrials,Aerospace & Defense,3.04,1,1,0.81,1.1,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 1% from 52w high
